step,query_id,query,y_true_helpful,y_pred_helpful,helpful_probability,prediction_error,prequential_accuracy,prequential_f1,adaptive_alpha,drift_detected
1,S1,Technical Report Table 8: Statistical information of the datasets utilized in this paper. Dataset Na,1,0,0.5,1,0.0,0.0,0.5112602281461981,0
2,S2,Traditional RAG Retrieval Ranker Reader LongRAG Long Retrieval Long Reader Figure 1: Traditional RAG,1,1,0.5012499973958399,0,0.5,0.6666666666666666,0.5187189161648226,0
3,S3,"design its usage. Generally speaking, the contributions of this paper are1: • We proposed to evaluat",1,0,0.47562090879710306,1,0.3333333333333333,0.5,0.5240827928871724,0
4,S4,"Improving language models by retrieving from trillions of tokens Sampling. When sampling, at the end",1,1,0.5070677357786998,0,0.5,0.6666666666666666,0.5470798561420431,0
5,S5,Training Retriever Top-20 Top-100 NQ TriviaQA WQ TREC SQuAD NQ TriviaQA WQ TREC SQuAD None BM25 59.1,1,1,0.5217518148047925,0,0.6,0.7499999999999999,0.5540067273601984,0
6,S6,"deviation at the beginning, and then drop. In particular, the QPS of NSSG increases as the standard ",1,1,0.508651264530101,0,0.6666666666666666,0.8,0.5644796197925459,0
7,S7,"within the framework of multi-stage ranking, we characterize the latency vs. effectiveness tradeoff ",1,1,0.5258430749799321,0,0.7142857142857143,0.8333333333333333,0.5746298166239189,0
8,S8,"As an intelligent assistant, your primary objective is to answer questions based on information with",1,1,0.5216583243651212,0,0.75,0.8571428571428571,0.5838904936567854,0
9,S9,Improving language models by retrieving from trillions of tokens Table 6 | Sample - Beavers are inte,1,1,0.5253798304195338,0,0.7777777777777778,0.8750000000000001,0.6064819984012946,0
10,S10,"and query difficulty. Below, we summarize our main contributions. (1) More systematic definition of ",1,1,0.5333678624939078,0,0.8,0.888888888888889,0.6162591078889273,0
11,S11,ARES Ranking of Pseudo RAG Systems NQ HotpotQA WoW FEVER MultiRC ReCoRD C.R A.R. C.R A.R. C.R A.R. C,1,1,0.5476998744012644,0,0.8181818181818182,0.9,0.6297571184394165,0
12,S12,Published as a conference paper at ICLR 2026 Figure 3: The overall framework of GraphRAG-Bench. It c,1,1,0.5562162402421621,0,0.8333333333333334,0.9090909090909091,0.6499644864974685,0
13,S13,Table 5: Case Study: Comparison Between LightRAG and the Baseline NaiveRAG. Query How do indigenous ,1,1,0.5737612485491612,0,0.8461538461538461,0.9166666666666666,0.6609568515783589,0
14,S14,"and metadata- based approaches, which can be defined as follows: αi = a·scorekey(q, Fj)+(1−α)·maxθj∈",1,1,0.5526830520871383,0,0.8571428571428571,0.923076923076923,0.6637332832413864,0
